n,n_w,p,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,200,5000,0.05,2.0,1.7254545454545454,0.15790170363296102,1.5398713855947421
7500,200,5000,0.05,2.0,1.8263636363636364,0.15798476094840616,1.540371326993665
7500,200,5000,0.05,2.0,1.9272727272727272,0.1580667483073243,1.5408648433819911
7500,200,5000,0.05,2.0,2.028181818181818,0.15814768465832307,1.541352049446496
7500,200,5000,0.05,2.0,2.129090909090909,0.1582275885142498,1.5418330571980978
7500,200,5000,0.05,2.0,2.2299999999999995,0.15830647796465852,1.542307976049771
7500,200,5000,0.05,2.0,2.3309090909090906,0.15838437068784803,1.542776912891726
7500,200,5000,0.05,2.0,2.4318181818181817,0.15846128396248757,1.5432399721639718
7500,200,5000,0.05,2.0,2.5327272727272723,0.15853723467884698,1.543697255926363
7500,200,5000,0.05,2.0,2.6336363636363638,0.15861223934964738,1.5441488639262413
7500,200,5000,0.05,2.0,2.7345454545454544,0.1586863141205469,1.544594893663757
7500,200,5000,0.05,2.0,2.835454545454545,0.15875947478027613,1.5450354404549766
7500,200,5000,0.05,2.0,2.936363636363636,0.158831736770437,1.5454705974928542
7500,200,5000,0.05,2.0,3.037272727272727,0.15890311519497852,1.5459004559061509
7500,200,5000,0.05,2.0,3.1381818181818177,0.15897362482936087,1.5463251048163973
7500,200,5000,0.05,2.0,3.239090909090909,0.1590432801294212,1.546744631392955
7500,200,5000,0.05,2.0,3.34,0.1591120952399512,1.5471591209062665
7500,200,5000,0.05,2.0,3.4409090909090905,0.15918008400299882,1.547568656779355
7500,200,5000,0.05,2.0,3.541818181818181,0.15924725996590297,1.5479733206376478
7500,200,5000,0.05,2.0,3.6427272727272726,0.15931363638907275,1.5483731923571806
7500,200,5000,0.05,2.0,3.743636363636363,0.15937922625351958,1.5487683501112495
7500,200,5000,0.05,2.0,3.8445454545454543,0.159444042268152,1.5491588704155679
7500,200,5000,0.05,2.0,3.945454545454545,0.15950809687684214,1.5495448281719768
7500,200,5000,0.05,2.0,4.046363636363636,0.1595714022652714,1.5499262967107845
7500,200,5000,0.05,2.0,4.147272727272727,0.1596339703675641,1.5503033478317516
7500,200,5000,0.05,2.0,4.248181818181818,0.15969581287271659,1.5506760518438114
7500,200,5000,0.05,2.0,4.349090909090909,0.15975694123082945,1.5510444776035301
7500,200,5000,0.05,2.0,4.449999999999999,0.15981736665914903,1.5514086925523993
7500,200,5000,0.05,2.0,4.550909090909091,0.1598771001479262,1.5517687627529528
