n,n_w,p,kappa,noise_std,lambda,iter,R_squared_ind,R_squared_sum
7500,200,10000,0.05,3.0,10.0,13,0.0901474232023586,0.5658002568809114
7500,200,10000,0.05,3.0,10.0,14,0.05423423070325,0.0072085812685545
7500,200,10000,0.05,3.0,10.0,15,0.0502672304191298,0.0427839350549675
7500,200,10000,0.05,3.0,10.0,16,0.0639531970858746,0.4665332517172857
7500,200,10000,0.05,3.0,10.0,17,0.072120122372244,0.1016289641398726
7500,200,10000,0.05,3.0,10.0,18,0.0599542392780189,0.339470786621924
7500,200,10000,0.05,3.0,10.0,19,0.064838065830933,1.1672444390989472
7500,200,10000,0.05,3.0,10.0,20,0.0797907207539875,0.7687879863013886
7500,200,10000,0.5,0.5,10.0,1,0.3314828423370671,0.7297313163336079
7500,200,10000,0.5,0.5,10.0,2,0.3485894455028884,3.119793073101015
7500,200,10000,0.5,0.5,10.0,3,0.3265700270217835,0.6938675025504265
7500,200,10000,0.5,0.5,10.0,4,0.2925554032043529,0.1381000286975058
7500,200,10000,0.5,0.5,10.0,5,0.3762027660985,0.603704436748561
7500,200,10000,0.5,0.5,10.0,6,0.3224716151250719,0.0358908892119221
7500,200,10000,0.5,0.5,10.0,7,0.2928875595474778,0.1564043074616494
7500,200,10000,0.5,0.5,10.0,8,0.3641120225648054,0.1542193897028563
7500,200,10000,0.5,0.5,10.0,9,0.3480279944411545,0.7315375807894773
7500,200,10000,0.5,0.5,10.0,10,0.3129546299585994,0.0026179604650938
7500,200,10000,0.5,0.5,10.0,11,0.3164057754068075,2.2868640463305803
7500,200,10000,0.5,0.5,10.0,12,0.3320639738350381,0.053485693309569
7500,200,10000,0.5,0.5,10.0,13,0.3379567719393868,0.0068659365895114
7500,200,10000,0.5,0.5,10.0,14,0.3324479881985878,0.4454148524756429
7500,200,10000,0.5,0.5,10.0,15,0.3184450995921857,0.3785131701497112
7500,200,10000,0.5,0.5,10.0,16,0.3071188887430521,10.972823573906073
7500,200,10000,0.5,0.5,10.0,17,0.3281305646684129,0.6408007671010985
7500,200,10000,0.5,0.5,10.0,18,0.3101878536877101,0.5809330072567395
7500,200,10000,0.5,0.5,10.0,19,0.3252351777033033,0.6264672734031363
7500,200,10000,0.5,0.5,10.0,20,0.3182264166056063,0.7319892763687895
7500,200,10000,0.5,2.0,10.0,1,0.0412350185669749,8.061350765653142
7500,200,10000,0.5,2.0,10.0,2,0.044344502466482,0.8830848163470869
7500,200,10000,0.5,2.0,10.0,3,0.0374591865058848,0.4352710788806578
7500,200,10000,0.5,2.0,10.0,4,0.0211482448075982,0.8857759572758243
7500,200,10000,0.5,2.0,10.0,5,0.0276747225543031,0.7762967099364212
7500,200,10000,0.5,2.0,10.0,6,0.0431744255869923,0.77255023599938
7500,200,10000,0.5,2.0,10.0,7,0.0453336035934673,2.043671359171338
7500,200,10000,0.5,2.0,10.0,8,0.0567730244594437,0.0103295672819697
7500,200,10000,0.5,2.0,10.0,9,0.0412864473066152,0.3331258669238736
7500,200,10000,0.5,2.0,10.0,10,0.0454011244895822,2.054347087193057
7500,200,10000,0.5,2.0,10.0,11,0.0496950513031899,12.463910907215917
7500,200,10000,0.5,2.0,10.0,12,0.0426208610568062,4.502206188142114
7500,200,10000,0.5,2.0,10.0,13,0.0580953656659742,0.0038937172861232
7500,200,10000,0.5,2.0,10.0,14,0.0356764959567868,0.0002405491227067
7500,200,10000,0.5,2.0,10.0,15,0.0416717940106497,0.0099774979111077
7500,200,10000,0.5,2.0,10.0,16,0.0386625244422033,0.8295488109871927
7500,200,10000,0.5,2.0,10.0,17,0.0343574351476546,0.0010080548198353
7500,200,10000,0.5,2.0,10.0,18,0.045548716760517,0.8708055105248391
7500,200,10000,0.5,2.0,10.0,19,0.0617581544423376,0.0402515637651745
7500,200,10000,0.5,2.0,10.0,20,0.043011757838911,0.8833075165625233
7500,200,10000,0.5,3.0,10.0,1,0.0082332528762216,11.615275254196726
7500,200,10000,0.5,3.0,10.0,2,0.0281744406240727,0.3703212697646462
7500,200,10000,0.5,3.0,10.0,3,0.0179244411651083,1.297740496276514
7500,200,10000,0.5,3.0,10.0,4,0.0253743113933954,1.2942325078031731
7500,200,10000,0.5,3.0,10.0,5,0.0247557929362389,1.2970949651526469
7500,200,10000,0.5,3.0,10.0,6,0.0313958735026291,0.18242972234543
7500,200,10000,0.5,3.0,10.0,7,0.0207173726167017,1.2858058875833356
7500,200,10000,0.5,3.0,10.0,8,0.0278555442554952,0.0054781763295861
7500,200,10000,0.5,3.0,10.0,9,0.0281265700946567,1.744363415835988
7500,200,10000,0.5,3.0,10.0,10,0.0260219947197589,0.0695488809778286
7500,200,10000,0.5,3.0,10.0,11,0.018022715612983,0.0134723150306316
7500,200,10000,0.5,3.0,10.0,12,0.0368888352812638,5.84089072354824
7500,200,10000,0.5,3.0,10.0,13,0.0265864866939037,0.4579535326375326
7500,200,10000,0.5,3.0,10.0,14,0.0306793562596981,1.2902077867694557
7500,200,10000,0.5,3.0,10.0,15,0.0333390886992459,1.1365301334125806
7500,200,10000,0.5,3.0,10.0,16,0.014530551470685,0.6240475652970517
7500,200,10000,0.5,3.0,10.0,17,0.013186986510007,0.7578252014532022
7500,200,10000,0.5,3.0,10.0,18,0.0321403984384299,1.192290196662935
7500,200,10000,0.5,3.0,10.0,19,0.0188396546651822,0.6864981794332624
7500,200,10000,0.5,3.0,10.0,20,0.0151890499115167,0.143729975077397
7500,200,10000,0.9,0.5,10.0,1,0.2220650613955349,0.5753388354011343
7500,200,10000,0.9,0.5,10.0,2,0.2358356922439286,0.013576211765663
7500,200,10000,0.9,0.5,10.0,3,0.2122123498025944,0.1034471913349044
7500,200,10000,0.9,0.5,10.0,4,0.1712964562735797,0.5948548195011635
7500,200,10000,0.9,0.5,10.0,5,0.1926721389691649,0.0444701795395349
7500,200,10000,0.9,0.5,10.0,6,0.172347540033023,0.4311579546053193
7500,200,10000,0.9,0.5,10.0,7,0.2008737935333896,0.3602507017129175
7500,200,10000,0.9,0.5,10.0,8,0.187934336750224,0.1359331586272527
7500,200,10000,0.9,0.5,10.0,9,0.1785000386873639,2.274446826756571
7500,200,10000,0.9,0.5,10.0,10,0.1940950951313329,0.043756290507978
7500,200,10000,0.9,0.5,10.0,11,0.1939474681578989,0.4441888884304374
7500,200,10000,0.9,0.5,10.0,12,0.1688526236465139,0.0628973544985003
7500,200,10000,0.9,0.5,10.0,13,0.2133596704718908,0.4822434380613056
7500,200,10000,0.9,0.5,10.0,14,0.1494498720093367,0.1044891774938093
7500,200,10000,0.9,0.5,10.0,15,0.2113345606302156,0.1927553725522417
7500,200,10000,0.9,0.5,10.0,16,0.219633930539275,0.5229625791475634
7500,200,10000,0.9,0.5,10.0,17,0.2221831740483968,0.1493526594465512
7500,200,10000,0.9,0.5,10.0,18,0.2143123105443196,0.3510552689130133
7500,200,10000,0.9,0.5,10.0,19,0.1896046146367866,81.98620199693322
7500,200,10000,0.9,0.5,10.0,20,0.2108109052865973,0.046669653117113
7500,200,10000,0.9,2.0,10.0,1,0.0052089899491112,0.6249269256803744
7500,200,10000,0.9,2.0,10.0,2,0.0048099994923269,0.0392914422268446
7500,200,10000,0.9,2.0,10.0,3,0.0058031051955995,1.4807654170038491
7500,200,10000,0.9,2.0,10.0,4,0.0071817472585068,51.275746313027724
7500,200,10000,0.9,2.0,10.0,5,0.0122896573168913,0.1424862364713841
7500,200,10000,0.9,2.0,10.0,6,0.0040072800147509,1.7133427402579011
7500,200,10000,0.9,2.0,10.0,7,0.0035419038731419,1.348151951731869
7500,200,10000,0.9,2.0,10.0,8,0.0044474440875059,2.6757540769420087
7500,200,10000,0.9,2.0,10.0,9,0.0015543093526671,1.5549315802223749
7500,200,10000,0.9,2.0,10.0,10,0.0034764897592713,0.0654961526651233
7500,200,10000,0.9,2.0,10.0,11,0.0038227061782996,1.032004912719035
7500,200,10000,0.9,2.0,10.0,12,0.0152324515231988,0.1834296167007256
7500,200,10000,0.9,2.0,10.0,13,0.0031345560267042,0.2473619238605275
7500,200,10000,0.9,2.0,10.0,14,0.0043755418139004,5.095628130816616
7500,200,10000,0.9,2.0,10.0,15,0.0008345355895151,1.528588420100127
7500,200,10000,0.9,2.0,10.0,16,0.015074963886241,1.5042801820835063
7500,200,10000,0.9,2.0,10.0,17,0.0172377469806566,1.0167547433556798
7500,200,10000,0.9,2.0,10.0,18,0.0029584306680222,2.5033206801189305
7500,200,10000,0.9,2.0,10.0,19,0.0057299212309321,0.0719981726935889
7500,200,10000,0.9,2.0,10.0,20,0.0067515184656302,0.1256196801408343
7500,200,10000,0.9,3.0,10.0,1,0.0053340526889254,1.1536137368397985
7500,200,10000,0.9,3.0,10.0,2,0.0035354036345906,0.1943646164290161
7500,200,10000,0.9,3.0,10.0,3,6.819266800157256e-06,0.2280293566946984
7500,200,10000,0.9,3.0,10.0,4,0.0002656977929161,4.58499623473457
7500,200,10000,0.9,3.0,10.0,5,0.0022059400636801,2.1156697219833926
7500,200,10000,0.9,3.0,10.0,6,0.002895500178791,2.029252718468268
7500,200,10000,0.9,3.0,10.0,7,0.0072884361233707,1.1322742606376948
7500,200,10000,0.9,3.0,10.0,8,0.0020779508658294,2.312690683325856
