n,n_w,p,rank,alpha,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,1000,5000,5,0.1,0.05,2.0,8.789090909090909,0.19004189666642018,0.7633872189257238
7500,1000,5000,5,0.1,0.05,2.0,8.889999999999999,0.19010837602424605,0.7638522961863687
7500,1000,5000,5,0.1,0.05,2.0,8.99090909090909,0.1901732452483592,0.7643087640330926
7500,1000,5000,5,0.1,0.05,2.0,9.091818181818182,0.1902365519022593,0.7647568496829034
7500,1000,5000,5,0.1,0.05,2.0,9.192727272727272,0.19029834182664257,0.7651967725410678
7500,1000,5000,5,0.1,0.05,2.0,9.293636363636365,0.19035865921424006,0.7656287445331867
7500,1000,5000,5,0.1,0.05,2.0,9.394545454545456,0.19041754668084038,0.7660529704204112
7500,1000,5000,5,0.1,0.05,2.0,9.495454545454544,0.1904750453327208,0.7664696480988055
7500,1000,5000,5,0.1,0.05,2.0,9.596363636363636,0.19053119483069664,0.7668789688837805
7500,1000,5000,5,0.1,0.05,2.0,9.697272727272727,0.19058603345098385,0.7672811177804614
7500,1000,5000,5,0.1,0.05,2.0,9.798181818181815,0.1906395981430571,0.7676762737408029
7500,1000,5000,5,0.1,0.05,2.0,9.899090909090908,0.19069192458467504,0.7680646099082071
7500,1000,5000,5,0.1,0.05,2.0,10.0,0.19074304723423136,0.7684462938503487
7500,1000,5000,5,0.1,0.05,3.0,0.01,0.05526042673111432,0.5459408854132157
7500,1000,5000,5,0.1,0.05,3.0,0.1109090909090909,0.05651251559444711,0.5515212772292107
7500,1000,5000,5,0.1,0.05,3.0,0.2118181818181818,0.05765626053586086,0.5563809534356287
7500,1000,5000,5,0.1,0.05,3.0,0.3127272727272727,0.058706727661657285,0.5606458049424647
7500,1000,5000,5,0.1,0.05,3.0,0.4136363636363636,0.05967601197225646,0.5644133976665137
7500,1000,5000,5,0.1,0.05,3.0,0.5145454545454545,0.06057399126244203,0.567760719441191
7500,1000,5000,5,0.1,0.05,3.0,0.6154545454545455,0.061408850286225634,0.5707494612928394
7500,1000,5000,5,0.1,0.05,3.0,0.7163636363636363,0.062187455447949805,0.5734297178118957
7500,1000,5000,5,0.1,0.05,3.0,0.8172727272727273,0.06291562911470376,0.575842641643532
7500,1000,5000,5,0.1,0.05,3.0,0.9181818181818182,0.06359835464802996,0.5780223870826737
7500,1000,5000,5,0.1,0.05,3.0,1.019090909090909,0.06423993246000602,0.5799975589270523
7500,1000,5000,5,0.1,0.05,3.0,1.12,0.06484410070954297,0.5817923097939077
7500,1000,5000,5,0.1,0.05,3.0,1.220909090909091,0.0654141299869646,0.5834271830132473
7500,1000,5000,5,0.1,0.05,3.0,1.3218181818181818,0.06595289854112854,0.5849197683323976
7500,1000,5000,5,0.1,0.05,3.0,1.4227272727272726,0.06646295273191502,0.5862852178522617
7500,1000,5000,5,0.1,0.05,3.0,1.5236363636363637,0.06694655611113312,0.587536656203705
7500,1000,5000,5,0.1,0.05,3.0,1.6245454545454543,0.06740572964320063,0.5886855097249664
7500,1000,5000,5,0.1,0.05,3.0,1.7254545454545454,0.06784228494501367,0.5897417729171736
7500,1000,5000,5,0.1,0.05,3.0,1.8263636363636364,0.06825785196957306,0.5907142258391056
7500,1000,5000,5,0.1,0.05,3.0,1.9272727272727272,0.06865390222586416,0.5916106127700878
7500,1000,5000,5,0.1,0.05,3.0,2.028181818181818,0.06903176838187769,0.5924377900333071
7500,1000,5000,5,0.1,0.05,3.0,2.129090909090909,0.0693926609137947,0.5932018490690583
7500,1000,5000,5,0.1,0.05,3.0,2.2299999999999995,0.0697376823251864,0.5939082194990315
