n,n_w,p,df,kappa,noise_std,lambda,R_squared_ind,R_squared_sum
7500,1000,5000,3.0,0.05,2.0,4.147272727272727,0.034303550416910064,2.011263697372308
7500,1000,5000,3.0,0.05,2.0,4.248181818181818,0.03429887551368581,2.0116346427781155
7500,1000,5000,3.0,0.05,2.0,4.349090909090909,0.03429408194613028,2.011981018047053
7500,1000,5000,3.0,0.05,2.0,4.449999999999999,0.034289193068087975,2.0123043473027793
7500,1000,5000,3.0,0.05,2.0,4.550909090909091,0.03428422958598783,2.012606035855303
7500,1000,5000,3.0,0.05,2.0,4.651818181818181,0.03427920986418588,2.012887381759204
7500,1000,5000,3.0,0.05,2.0,4.752727272727272,0.034274150191758425,2.0131495860198236
7500,1000,5000,3.0,0.05,2.0,4.853636363636364,0.03426906501612921,2.0133937616311663
7500,1000,5000,3.0,0.05,2.0,4.954545454545454,0.03426396714808636,2.01362094160086
7500,1000,5000,3.0,0.05,2.0,5.055454545454545,0.03425886794205549,2.0138320860942773
7500,1000,5000,3.0,0.05,2.0,5.156363636363636,0.03425377745492005,2.0140280888103677
7500,1000,5000,3.0,0.05,2.0,5.257272727272727,0.03424870458619861,2.014209782685422
7500,1000,5000,3.0,0.05,2.0,5.3581818181818175,0.034243657201984384,2.014377945007425
7500,1000,5000,3.0,0.05,2.0,5.459090909090909,0.03423864224471077,2.014533302011995
7500,1000,5000,3.0,0.05,2.0,5.56,0.03423366583051911,2.0146765330212726
7500,1000,5000,3.0,0.05,2.0,5.66090909090909,0.034228733335760854,2.014808274178827
7500,1000,5000,3.0,0.05,2.0,5.761818181818182,0.03422384947395755,2.0149291218266736
7500,1000,5000,3.0,0.05,2.0,5.862727272727272,0.034219018364367006,2.015039635564473
7500,1000,5000,3.0,0.05,2.0,5.963636363636363,0.03421424359315148,2.0151403410258677
7500,1000,5000,3.0,0.05,2.0,6.064545454545455,0.034209528268014856,2.015231732402613
7500,1000,5000,3.0,0.05,2.0,6.165454545454545,0.034204875067064835,2.0153142747432184
7500,1000,5000,3.0,0.05,2.0,6.266363636363636,0.03420028628256063,2.0153884060497504
7500,1000,5000,3.0,0.05,2.0,6.367272727272727,0.03419576386012355,2.0154545391935024
7500,1000,5000,3.0,0.05,2.0,6.468181818181818,0.03419130943391818,2.015513063667842
7500,1000,5000,3.0,0.05,2.0,6.569090909090908,0.03418692435824807,2.015564347194474
7500,1000,5000,3.0,0.05,2.0,6.67,0.03418260973595854,2.015608737197422
7500,1000,5000,3.0,0.05,2.0,6.7709090909090905,0.034178366443991234,2.0156465621575244
7500,1000,5000,3.0,0.05,2.0,6.871818181818181,0.03417419515639506,2.015678132858766
7500,1000,5000,3.0,0.05,2.0,6.972727272727273,0.03417009636506286,2.015703743536533
7500,1000,5000,3.0,0.05,2.0,7.073636363636363,0.034166070398432356,2.0157236729368857
7500,1000,5000,3.0,0.05,2.0,7.174545454545454,0.034162117438362234,2.015738185294858
7500,1000,5000,3.0,0.05,2.0,7.275454545454545,0.03415823753537169,2.01574753123905
7500,1000,5000,3.0,0.05,2.0,7.376363636363636,0.03415443062240976,2.015751948629021
7500,1000,5000,3.0,0.05,2.0,7.477272727272727,0.034150696527302925,2.015751663331303
7500,1000,5000,3.0,0.05,2.0,7.578181818181818,0.034147034984013724,2.015746889939307
7500,1000,5000,3.0,0.05,2.0,7.679090909090909,0.03414344564282804,2.0157378324418547
7500,1000,5000,3.0,0.05,2.0,7.779999999999999,0.03413992807957693,2.015724684844638
7500,1000,5000,3.0,0.05,2.0,7.880909090909091,0.034136481803986915,2.0157076317484437
7500,1000,5000,3.0,0.05,2.0,7.981818181818181,0.034133106267243876,2.0156868488877033
7500,1000,5000,3.0,0.05,2.0,8.082727272727272,0.03412980086884576,2.015662503632494
7500,1000,5000,3.0,0.05,2.0,8.183636363636364,0.03412656496281217,2.015634755456942
7500,1000,5000,3.0,0.05,2.0,8.284545454545453,0.034123397863312185,2.015603756376579
7500,1000,5000,3.0,0.05,2.0,8.385454545454545,0.03412029884976509,2.0155696513571417
7500,1000,5000,3.0,0.05,2.0,8.486363636363636,0.03411726717146327,2.015532578696886
7500,1000,5000,3.0,0.05,2.0,8.587272727272726,0.03411430205176222,2.0154926703845137
7500,1000,5000,3.0,0.05,2.0,8.688181818181818,0.034111402691877166,2.0154500524344434
7500,1000,5000,3.0,0.05,2.0,8.789090909090909,0.03410856827432322,2.0154048452011377
7500,1000,5000,3.0,0.05,2.0,8.889999999999999,0.03410579796603136,2.015357163674002
7500,1000,5000,3.0,0.05,2.0,8.99090909090909,0.03410309092116949,2.015307117754238
7500,1000,5000,3.0,0.05,2.0,9.091818181818182,0.0341004462836962,2.015254812514949
7500,1000,5000,3.0,0.05,2.0,9.192727272727272,0.03409786318967053,2.0152003484456706
7500,1000,5000,3.0,0.05,2.0,9.293636363636365,0.034095340769340246,2.0151438216824014
7500,1000,5000,3.0,0.05,2.0,9.394545454545456,0.03409287814902818,2.0150853242241284
7500,1000,5000,3.0,0.05,2.0,9.495454545454544,0.03409047445283483,2.0150249441368087
